Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
Going Seventeen 2020,South Korea ,47,9.3,"1,470","A show which takes us through fun and games with each SEVENTEEN member. This year the format will also include ""Monthly Seventeen"" in which a designated member will be in charge of providing ideas for the month's video contents.

(Source: MyDramaList) ",Comedy ,SEVENTEEN Variety Show K-Pop Talk Show Friendship,,
BTS in the Soop Season 2,South Korea ,5,9.3,"1,941","""BTS in the Soop Season 2"" is HYBE's entertainment reality program, which contains a healing story in the forest, this time in Pyeongchang-gun, Gangwon-do, South Korea. Here all seven BTS members enjoy their time separately and together.

(Source: Nate.com) ","Adventure,  Comedy,  Life,  Youth ",Healing BTS Reality Show Friendship K-Pop Vacation,,
Running Man,South Korea ,687,9.3,"5,433","In each episode, the members must compete in a series of games and missions to win the race. As they fight to win prizes and avoid penalties, the members show their chemistry with each other and the celebrity guests that occasionally join. ",Comedy ,Game Show Variety Show Reality Show Apink Trouble Maker (Group) Dynamic Duo Fin.K.L Davichi 5URPRISE Jinusean,Ahn Jae Cheol ,
Bring The Soul: The Movie,South Korea ,,9.2,"4,550","Following their landmark “Love Yourself” tour, BTS triumphantly returns to cinema screens in BRING THE SOUL: THE MOVIE. Shining brighter than any light on the stage, now the group invite us behind the spotlight.

On the day following the final concert of their Europe tour, on a rooftop in Paris, BTS tells their very own stories from experiencing new cities to performing in front of thousands of ARMY across the globe. A glimpse into BTS’ world away from the stage, featuring intimate group discussions alongside spectacular concert performances from the tour, this is a cinema event not to be missed. The journey of BTS continues!

(Source: BringTheSoulTheMovie)","Music,  Documentary ",K-Pop BTS,Park Joon Soo ,
Going Seventeen 2021,South Korea ,35,9.2,"1,109","The third season of Going Seventeen. This season's keyword is ""watch what you say"" where anything the members say can and will be turned into content. ","Music,  Comedy ",SEVENTEEN K-Pop Variety Show Friendship,,
Better Days,China ,,9.2,"9,849","The film revolves around a girl who is being bullied at school and her relationship with a tough street kid, with whom she is implicated in the murder of a teenage girl.

(Source: ScreenDaily)

~~ Adapted from the novel ""In His Youth, In Her Beauty"" (少年的你，如此美丽) by Jiu Yue Xi (玖月晞). ","Psychological,  Romance,  Youth,  Drama ",School Bullying Violence Coming Of Age School Problems Poor Male Lead Poor Female Lead Smart Female Lead High School Social Commentary Strong Male Lead,Derek Tsang ,"Lam WIng Sam,  Li Yuan,  Xu Yi Meng "
Break the Silence: The Movie,South Korea ,,9.2,"1,984","BTS WORLD TOUR 'LOVE YOURSELF: SPEAK YOURSELF' is now over. The worldwide stadium tour topped the Billboard Boxscore, and marked BTS as the first Korean group to perform at Wembley Stadium. The tour took place across Los Angeles, Chicago, New York, São Paulo, London, Paris, Osaka, Shizuoka, Riyadh, and Seoul.  
With unprecedented access, BREAK THE SILENCE: THE MOVIE travels with BTS throughout the tour, exploring each band member behind the curtain. Offstage, we see another side of BTS. The seven members begin to candidly tell personal stories they have never voiced before.   
Facing my other self ‘PERSONA’.

(Source: Breakthesilencethemovie.com)","Music,  Documentary ",K-Pop BTS,Park Joon Soo ,
Move to Heaven,South Korea ,10,9.2,"32,316","Han Geu Roo is a 20-year-old with Autism. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in.

(Source: MyDramaList)

~~ Adapted from the nonfiction essay ""Things Left Behind"" by professional trauma cleaner Kim Sae Byul.","Life,  Drama ",Uncle-Nephew Relationship Autism Death Savant Syndrome Mourning Tearjerker Life Lesson Cleaning And Organizing Autism Spectrum Disorder Murder,Kim Sung Ho ,Yoon Ji Ryun 
Nirvana in Fire,China ,54,9.1,"7,975","In sixth-century China, the Emperor of Great Liang orders the unjust execution of his brother-in-law Marshal Lin Xie alongside the Lin family, his 70,000 army soldiers, and Crown Prince Qi. Secretly surviving the massacre is Lin Xie's son, Lin Shu, who undergoes medical treatment that changes his appearance entirely and leaves him in a weakened state, unable to ever perform martial arts again. Lin Shu changed his name to Mei Chang Su and later became the chief of the pugilist world and established the Jiangzuo Alliance.

Twelve years later, Mei Chang Su returns to the capital with a secret plan after being sought after by Prince Yu and Prince Xian during their fight for the throne. He decides to covertly assist Prince Jing, the unfavoured son of the Emperor, and wisely rids the court of all scheming officials.

(Source: MyDramaList)

~~ Adapted from the novel ""Lang Ya Bang"" (琅琊榜) by Hai Yan (海宴).","Military,  Historical,  Drama,  Political ",Smart Male Lead Power Struggle Tragic Past Hidden Identity Scheme Political Intrigue Revenge Bromance Sword-fight Adapted From A Novel,"Kong Sheng,  Li Xue ",Hai Yan 
Miracle in Cell No. 7,South Korea ,,9.1,"19,980","Lee Yong Gu is a mentally impaired father, who lives in a run-down house along with his daughter of the same age, Ye Seung. One day, he gets into a physical altercation with the police commissioner, who has just purchased the last Sailor Moon backpack for his daughter, a gift Yong Gu was saving up to buy for Ye Seung. Soon after, the police commissioner's daughter dies in a freak accident while she is taking Yong Gu to another store that sells the same backpack. When he tries to resuscitate her, a woman witnesses him and mistakes him to be molesting her. Yong Gu is falsely accused of the abduction, murder, and rape of a minor. The police quickly take advantage of his disability and force him to admit to committing the crimes, while ignoring exonerating evidence. Yong Gu is imprisoned and assigned to Cell No. 7, the harshest cell in a maximum security prison.

(Source: Drama Wiki Fandom)","Comedy,  Drama ",Father-Daughter Relationship Disability Intellectual Disability Friendship Child Female Lead Trial Prison Setting Single Father Male Lead Tearjerker Neurodevelopmental Disorder,er & Director: Lee Hwan Kyung ,"Yoo Young Ah,  Kim Young Suk,  Kim Hwang Sung "
